name,lookup,type,min_lag,max_lag,keep_all
BKR_CLOSE_24,BKR_CLOSE,trigger,0,24,true
BKR_OPEN_24,BKR_OPEN,trigger,0,24,true
FAULT_ALARM_24,FAULT_ALARM,trigger,0,24,true
FAULT_CURRENT_24,FAULT_CURRENT,trigger,0,24,true
FC_NO_BO_24,FC_NO_BO,trigger,0,24,true
FDRHD_DE_ENERGIZED_24,FDRHD_DE_ENERGIZED,trigger,0,24,true
FDRHD_ENERGIZED_24,FDRHD_ENERGIZED,trigger,0,24,true
CURRENT_LIMIT_24,CURRENT_LIMIT,trigger,0,24,true
HARDENING,HARDENING,duration,0,0,true
HAS_INDUSTRIAL,HAS_INDUSTRIAL,constant,0,0,true
HIGH_VOLTAGE_24,HIGH_VOLTAGE,trigger,0,24,true
INTELI_PH_ALARM_24,INTELI_PH_ALARM,trigger,0,24,true,
INTELI_OPS_DSW_CLOSE_24,INTELI_OPS_DSW_CLOSE,trigger,0,24,true
INTELI_OPS_DSW_OPEN_24,INTELI_OPS_DSW_OPEN,trigger,0,24,true
KV,KV,constant,0,0,true
LATERAL_OUTAGES_24,LATERAL_OUTAGES,trigger,0,24,true
LG_PD_10_24,LG_PD_10,trigger,0,24,false
PCT_UG,lookup: PCT_UG,constant,0,0,false
PF_SPIKES_24,PF_SPIKES,trigger,0,24,false
REGULATOR_BLOCK_24,REGULATOR_BLOCK,trigger,0,24,true
RE_FUSE_ONLY_24,RE_FUSE_ONLY,trigger,0,24,true
TEMP_FAULT_CURRENT_24,TEMP_FAULT_CURRENT,trigger,0,24,true
THD_SPIKES_24,THD_SPIKES,trigger,0,24,false
TRIPLE_THREAT_24,TRIPLE_THREAT_24,special,0,24,false
VOLTAGE_DROP_24,VOLTAGE_DROP,trigger,0,24,true
ZERO_CURRENT_24,ZERO_CURRENT,trigger,0,24,false
ZERO_POWER_24,ZERO_POWER,trigger,0,24,false
ZERO_VOLTAGE_24,ZERO_VOLTAGE,trigger,0,24,false
