"IRPT_CAUS_CODE","IRPT_CAUS_CLS","IRPT_CAUS_CTGY","IRPT_CAUS_DS","PSC_CAUS_CTGY","SYNERGEE_CAUS_CLS_NUM","SYNERGEE_CAUS_CTGY_NUM"
"17","Animal","Animal","Osprey Nest","Animal",20,5
" ","","","","",,
"0","Not Available","Not Available","Not Available","Unknown",90,1
"1","Weather","Lightning w/Equip ","Lightning With Equipment Damage","Lightning",170,1
"2","Weather","Storm","Storm - No Equipment Damage","Other Weather",170,4
"3","Accident","Accident","Accidental Fire (forest fires etc)","Remaining Causes",10,1
"4","Corrosion/Decay","Corrosion/Decay","Salt Spray Corrosion (old)","NA",40,4
"5","Weather","Weather","Wind (Clear Days & High Winds)","Remaining Causes",170,7
"6","Weather","Weather","Storm/Wind w/Equip Damage","Remaining Causes",170,6
"7","Animal","Animal","Squirrel","Animal",20,8
"8","Animal","Animal","Frog","NA",20,3
"9","Animal","Animal","Other Bird","Animal",20,1
"10","Animal","Animal","Snake (old)","NA",20,7
"11","Animal","Animal","Other Animal","Animal",20,6
"12","Animal","Animal","No Animal Guard","NA",20,4
"13","Weather","Storm","Tornado","Remaining Causes",170,5
"14","Weather","Storm","Hurricane","Remaining Causes",170,2
"15","Weather","Storm","Ice On Lines","Remaining Causes",170,3
"16","Animal","Animal","Monk Parrot Nest","Animal",20,2
"20","Vegetation","Vegetation","Tree/Limb Preventable","Vegetation",160,2
"21","Vegetation","Vegetation","Tree/Limb Unpreventable","Vegetation",160,3
"23","Corrosion/Decay","Corrosion/Decay","Decay/Deterioration (old)","NA",40,3
"24","Corrosion/Decay","Corrosion/Decay","Corrosion (Non Salt Spray) (old)","NA",40,2
"25","Vegetation","Vegetation","Vines/Grass","Vegetation",160,4
"26","Corrosion/Decay","Corrosion/Decay","Contamination (Non Salt Spray) (old)","NA",40,1
"39","Old Code","Old Code","Old Code","NA",100,1
"40","Accident","Accident","Vehicle","Vehicle",10,14
"41","Improper Process","Improper Process","Accidental Contact","Vehicle",70,1
"42","Accident","Accident","Plane (old)","NA",10,11
"43","Accident","Accident","Crane Contact (old)","NA",10,2
"44","Accident","Accident","Personal Contact (old)","NA",10,10
"45","Accident","Accident","Object/Missle (old)","NA",10,8
"46","Improper Process","Improper Process","Switching Error","Remaining Causes",70,12
"47","Accident","Accident","Switching Overload (old)","NA",10,12
"48","Other","Unknown","Other (old)","NA",110,3
"50","Accident","Accident","Foreign Crew","NA",10,4
"66","Accident","Accident","FPL Crew","NA",10,5
"67","Accident","Accident","FPL Dsbn Contractor","NA",10,6
"68","Vegetation","Vegetation","FPL Line Clearing Contractor","NA",160,1
"69","Other","Other","Transmission Contractor","NA",110,2
"75","Accident","Accident","Improper Depth","NA",10,7
"78","Accident","Accident","Other Accidental Cause (old)","NA",10,9
"79","Accident","Accident","Dig-in (Proper Depth)","Remaining Causes",10,3
"140","Transmission","Other","Feeder Breaker","Remaining Causes",140,2
"170","Improper Process","Improper Process","Wrong Size Fuse","Remaining Causes",70,14
"171","Improper Process","Improper Process","Overloaded Device","Remaining Causes",70,8
"177","Improper Process","Improper Process","Training (old)","NA",70,13
"178","Improper Process","Improper Process","Non-standard Construction","Remaining Causes",70,4
"179","Improper Process","Improper Process","Non-standard Design (old)","NA",70,5
"180","Improper Process","Improper Process","Wrong Specs (old)","NA",70,15
"183","Improper Process","Improper Process","Improper Installation","Remaining Causes",70,2
"184","Improper Process","Improper Process","Overloaded Lateral (old)","NA",70,9
"185","Improper Process","Improper Process","Overloaded Transformer (old)","NA",70,10
"186","Unknown","Unknown","Description Unknown (old)","NA",150,1
"187","Equipment Failure","Unknown","Equip. Failure (clear day/no wind)","Equipment Failure",60,1
"190","Unknown","Unknown","Unknown Cause","Unknown",150,2
"191","Accident","Accident","Vandalism","Remaining Causes",10,13
"192","Request","Request","Crew Request (Unplanned) (old)","NA",120,2
"193","Request","Request","Customer Request","Request",120,3
"195","Request","Request","Crew Request (Planned)","Request",120,1
"196","Improper Process","Improper Process","Slack Conductors","Remaining Causes",70,11
"197","Other","Other","Other (Explain)","Other",110,1
"198","Corrosion/Decay","Improper Process","Maintenance (old)","NA",40,6
"199","Corrosion/Decay","Improper Process","Defective Material (old)","NA",40,5
"200","Transmission","Other","Transmission Problem","NA",140,3
"201","Old Code","Old Code","Old Code","NA",100,2
"202","Improper Process","Improper Process","Loose Connection","Equipment Connection",70,3
"222","Cable","Cable","Power Temp Used","NA",30,2
"255","Dummy CFR","Dummy CFR","Dummy CFR (old)","NA",50,1
"260","Cable","Cable","Fault Locator Used","NA",30,1
"265","Cable","Cable","SECT NOT-FI USED","NA",30,3
"271","No Loss Service","No Loss Service","CLEARED BY PHONE","NA",80,1
"272","Request","Request","Unplanned - Const/Maint","NA",120,4
"999","Storm","Storm","Named Storm Exclusion (old)","NA",130,1
"194","Request","Request","Unplanned - Crew Request","Request",120,5
"18","Animal","Animal","Lizards","Animal",20,9
"172","Improper Process","Improper Process","Overload Normal Condition","Remaining Causes",70,7
"173","Improper Process","Improper Process","Overload Emergency Condition","Remaining Causes",70,6
"188","Equipment Failure","Unknown","Equip.Failure (overhead)","Equipment Failure",60,2
"189","Equipment Failure","Unknown","Equip.Failure (underground)","Equipment Failure",60,3
