"SUPT_CODE","SUPT_CODE_CLS","SUPT_CODE_CTGY","SUPT_CODE_DS"
" ","Not Available","Not Available","Not Available"
"0","Not Available","Not Available","Not Available"
"1","Lightning w/Equip ","Lightning w/Equip ","Lightning With Equipment Damage"
"2","Storm","Storm","Lightning - No Equipment Damage"
"3","Accident","Accident","Fire"
"4","Corrosion/Decay","Corrosion/Decay","Salt Spray Corrosion"
"5","Storm","Storm","Other Natural Cause (old)"
"7","Animal","Animal","Squirrel"
"9","Animal","Animal","Bird"
"10","Animal","Animal","Snake (old)"
"11","Animal","Animal","Other Animal"
"12","Animal","Animal","No Animal Guard"
"13","Storm","Storm","Tornado"
"14","Storm","Storm","Hurricane"
"15","Storm","Storm","Ice On Lines"
"16","Animal","Animal","Bird/Mond Parrot Nest"
"20","Vegetation","Vegetation","Tree/Limb Preventable"
"21","Vegetation","Vegetation","Tree/Limb Unpreventable"
"22","Vegetation","Vegetation","Palm Tree"
"23","Corrosion/Decay","Corrosion/Decay","Decay/Deterioration"
"24","Corrosion/Decay","Corrosion/Decay","Corrosion (Non Salt Spray)"
"25","Vegetation","Vegetation","Vines/Grass"
"26","Corrosion/Decay","Corrosion/Decay","Contamination (Non Salt Spray)"
"40","Accident","Accident","Vehicle"
"41","Improper Process","Accident","Accidental Contact"
"42","Accident","Accident","Plane (old)"
"43","Accident","Accident","Crane Contact (old)"
"44","Accident","Accident","Personal Contact (old)"
"45","Accident","Accident","Object/Missle (old)"
"46","Improper Process","Accident","Switching Error"
"47","Accident","Accident","Switching Overload (old)"
"48","Other","Other","Other (old)"
"50","Accident","Accident","Foreign Crew"
"60","Old Code","Old Code","Old Code"
"65","Old Code","Old Code","Old Code"
"66","Accident","Accident","FPL Crew"
"67","Accident","Accident","FPL Dsbn Contractor"
"68","Vegetation","Vegetation","FPL Line Clearing Contractor"
"69","Other","Other","Transmission Contractor"
"75","Accident","Accident","Improper Depth"
"78","Accident","Accident","Other Accidental Cause (old)"
"79","Accident","Accident","Dig-in (Proper Depth)"
"80","OH Equipment","Conductor support","Down Guy or Anchor"
"81","OH Equipment","Conductor support","Pole"
"82","OH Equipment","Conductor support","Cross Arm"
"83","OH Equipment","Conductor support","Insulator"
"84","OH Equipment","Conductor support","Pole Top Pin"
"85","Other","Arrester","Arrester"
"86","Wire","Wire","Conductor (old)"
"87","OH Equipment","Conductor support","Tie Wire"
"88","OH Equipment","Wire","Jumper"
"89","OH Equipment","Connector","Stirrup"
"90","OH Equipment","Connector","Hot Line Clamp"
"91","Other Equipment","Connector","Connector"
"92","OH Equipment","Switch","Disconnect Switch"
"93","OH Equipment","Switch","Fuse Switch"
"94","Other Equipment","Transformer","Transformer"
"95","Other Equipment","Transformer","Step Down Transformer"
"96","OH Equipment","Other Device","Line OCR"
"97","OH Equipment","Other Device","Line Capacitor"
"98","OH Equipment","Other Device","Line Regulator"
"99","OH Equipment","Wire","Pole Bond Broken (old)"
"100","OH Equipment","Other","Inadequate or No Grounding"
"101","OH Equipment","Other","Pole Fire"
"102","Other Equipment","Other","Other Equipment"
"103","Other Equipment","Splice","Splice"
"104","Wire","Wire","Conductor Down"
"105","Wire","Wire","Conductor Damaged"
"106","Other","Swiitch","Automated Switch (DA)"
"109","Old Code","Old Code","Old Code"
"110","UG Equipment","Terminator","Terminator"
"111","Cable","Cable","Cable"
"112","Other Equipment","Splice","UG Splice (old)"
"113","UG Equipment","Terminator","Elbow"
"114","UG Equipment","Switch","Tx Fuse Switch"
"115","UG Equipment","Switch","Tx Blade Switch"
"116","UG Equipment","Switch","Bayonet Switch"
"117","UG Equipment","Arrester","UG Arrester (old)"
"118","UG Equipment","Arrester","Elbow Arrester (old)"
"119","UG Equipment","Transformer","Padmount Transformer (old)"
"121","UG Equipment","Switch","Padmount Switch"
"122","UG Equipment","Switch","Oil Fuse Cutout"
"123","UG Equipment","Switch","RA Switch"
"124","UG Equipment","Switch","Mech for Throwover "
"125","UG Equipment","Switch","PT Fuse"
