"DW_TCKT_KEY","FDR_NUM","TRBL_TCKT_NUM","GRN_TCKT_FLAG","IRPT_TYPE_CODE","TCKT_TYPE_CODE","SUPT_CODE","IRPT_CAUS_CODE","EQP_CODE","CMI","POWEROFF","POWERRESTORE","RPR_ACTN_TYPE","RPR_ACTN_SUB_TYPE","RPR_ACTN_DS","A_PHAS_INVOLVED","B_PHAS_INVOLVED","C_PHAS_INVOLVED","TCKT_DVC_COOR","REPAIRACTIONCREATETIME","REPAIREDACTIONSTATEPLANEX","REPAIREDACTIONSTATEPLANEY","CRNT_ROW_FLAG"
"11101415","405134","4","N","SEC","SNCU","0","190","0","63","12-01-2016 00:14:00","12-01-2016 01:17:00","","","","","","","67065962302","","911000","1076213","Y","12/1/2016 12:16:00 AM"
"11101408","503563","8","Y","SV","TXU","401","195","0","108","12-01-2016 00:35:00","12-01-2016 02:23:00","","","","","","","76580233308","","404630","652312","Y","12/1/2016 12:35:00 AM"
"11101467","406237","9","Y","TX","TX","401","195","94","260","12-01-2016 00:40:00","12-01-2016 05:00:00","","","","","","","68136232801","","962479","931532","Y","12/1/2016 12:40:00 AM"
"11101484","105832","11","N","LAT","LAT","66","188","88","15840","12-01-2016 01:09:00","12-01-2016 06:39:00","","","","","","","35145040901","","511620","1976703","Y","12/1/2016 1:10:00 AM"
"11101436","506861","13","N","LAT","LAT","0","190","0","3040","12-01-2016 01:11:00","12-01-2016 06:15:00","TMRepairActionAccessable","General","See Comments","","","","54935070808","12-01-2016 06:22:13","325375","926823","Y","12/1/2016 1:24:00 AM"
"11101436","506861","13","N","LAT","LAT","0","190","0","3040","12-01-2016 01:11:00","12-01-2016 06:15:00","TMRepairActionAccessable","General","See Comments","","","","54935070808","12-01-2016 06:22:13","325580","927243","Y","12/1/2016 1:24:00 AM"
"11101437","702237","14","N","TX","SNCU","66","18","0","101","12-01-2016 01:24:00","12-01-2016 03:05:00","TMRepairActionRefuseTransformer","General","Refuse standard B ph TX","","","","87090363703","12-01-2016 05:51:29","907226","701725","Y","12/1/2016 1:26:00 AM"
"11101404","809339","15","N","LAT","LAT","23","20","102","2232","12-01-2016 01:35:00","12-01-2016 04:41:00","TMRepairActionAccessable","General","See Comments","","","","87757243009","12-01-2016 05:37:46","943649","537216","Y","12/1/2016 1:35:00 AM"
"11101432","805731","16","N","LAT","LAT","0","190","0","2618","12-01-2016 01:34:00","12-01-2016 04:08:00","TMRepairActionRefuseLateral","General","Refuse C Lateral","","","","86349483004S","12-01-2016 04:54:52","873638","496691","Y","12/1/2016 1:35:00 AM"
"11101404","809339","15","N","LAT","LAT","23","20","102","2232","12-01-2016 01:35:00","12-01-2016 04:41:00","TMRepairActionTrimTree","General","Trim/Remove Tree 2   0% Palms:  R/O","","","","87757243009","12-01-2016 05:37:46","943649","537216","Y","12/1/2016 1:35:00 AM"
