FEEDER,FEEDER,INSTALL_DATE,SUBSTATION,COUNTY,KV,AREA,TYPE,CUSTOMERS,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,AFS,CAPBANK,3PH_OCR,1PH_OCR,FDR_OH,FDR_UG,LAT_OH,LAT_UG,POLE_COUNT,REGION,RELAY,AFS_SCHEME,HARDENING,FI,HAS_AFS,HAS_AFS_OCR,IS_DADE,HAS_INDUSTRIAL,LENGTH,PCT_UG,OH_FDR,UG_FDR,HYBRID,CEMM35_FEEDER,4N+_FEEDER
100131,100131,1950-01-01 00:00:00+00:00,DAYTONA BEACH,Volusia,13.2,CF,Hybrid,2048,1628,415,5,0,3,1,0,4.9,0.4,7.5,1.5,394.072,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,1,0,1,5.3,0,1,0,0,False,False
100132,100132,1950-01-01 00:00:00+00:00,DAYTONA BEACH,Volusia,13.2,CF,Hybrid,1381,1171,208,2,0,3,0,0,2.8,0.9,1.6,1.8,139.832,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,0,0,1,3.7,0,0,0,1,False,False
100133,100133,1957-07-03 00:00:00+00:00,DAYTONA BEACH,Volusia,13.2,CF,Hybrid,792,621,168,3,0,1,0,0,2.5,1.0,2.5,2.4,158.9,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,0,0,1,3.5,0,0,0,1,False,False
100134,100134,1957-07-03 00:00:00+00:00,DAYTONA BEACH,Volusia,13.2,CF,Hybrid,412,340,72,0,0,2,0,0,0.9,2.9,1.1,0.1,63.56,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,0,0,0,3.8,1,0,0,1,False,False
100135,100135,1958-04-08 00:00:00+00:00,DAYTONA BEACH,Volusia,13.2,CF,Hybrid,1417,1053,357,7,0,4,0,0,3.6,0.2,4.2,5.8,247.884,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,0,0,1,3.8,0,1,0,0,False,False
100136,100136,1962-06-01 00:00:00+00:00,DAYTONA BEACH,Volusia,13.2,CF,Hybrid,184,22,161,1,0,2,0,0,0.8,0.3,0.4,0.8,38.136,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,0,0,1,1.1,0,0,0,1,False,False
100137,100137,1966-07-01 00:00:00+00:00,DAYTONA BEACH,Volusia,13.2,CF,Hybrid,1687,1389,293,5,0,3,0,0,4.9,0.1,12.1,1.5,540.26,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,0,0,1,5.0,0,1,0,0,False,False
100138,100138,1969-03-20 00:00:00+00:00,DAYTONA BEACH,Volusia,13.2,CF,Hybrid,358,310,48,0,0,2,0,0,0.6,3.5,0.7,1.6,41.314,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,0,0,0,4.1,1,0,1,0,False,False
100139,100139,2002-12-31 00:00:00+00:00,DAYTONA BEACH,Volusia,13.2,CF,Hybrid,701,641,60,0,0,1,0,0,0.8,2.3,1.5,0.5,73.094,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,0,0,0,3.1,1,0,0,1,False,False
100231,100231,1927-01-01 00:00:00+00:00,ST AUGUSTINE,St Johns,13.2,NF,Hybrid,1336,1196,134,6,1,2,0,0,4.4,1.2,9.8,5.5,451.276,NORTH,MECHANICAL,None,1982-07-18 00:00:00+00:00,,1,1,0,1,5.6,0,0,0,1,False,False
100232,100232,1927-01-01 00:00:00+00:00,ST AUGUSTINE,St Johns,13.2,NF,Hybrid,807,464,342,1,0,2,0,0,2.1,0.2,1.2,3.5,104.874,NORTH,MECHANICAL,None,1982-07-18 00:00:00+00:00,,0,0,0,1,2.3,0,1,0,0,False,False
100233,100233,1963-06-01 00:00:00+00:00,ST AUGUSTINE,St Johns,13.2,NF,Hybrid,859,613,241,5,0,3,0,2,3.8,0.2,5.0,0.6,279.664,NORTH,MECHANICAL,None,2012-10-23 00:00:00+00:00,,0,1,0,1,4.0,0,1,0,0,False,False
100234,100234,1974-06-01 00:00:00+00:00,ST AUGUSTINE,St Johns,13.2,NF,Hybrid,372,117,252,3,0,3,0,0,3.5,0.2,2.4,1.6,187.502,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,0,0,1,3.7,0,1,0,0,False,False
100235,100235,1979-06-01 00:00:00+00:00,ST AUGUSTINE,St Johns,13.2,NF,Hybrid,1766,1532,227,7,0,4,1,0,4.7,2.5,10.2,1.6,473.522,NORTH,SEL351,Support Feeder,1982-07-18 00:00:00+00:00,,0,1,0,1,7.2,0,0,0,1,False,False
100236,100236,1983-06-01 00:00:00+00:00,ST AUGUSTINE,St Johns,13.2,NF,Hybrid,1333,1048,275,10,0,2,0,0,3.5,0.2,4.0,2.2,238.35,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,0,0,1,3.7,0,1,0,0,False,False
100331,100331,1933-01-01 00:00:00+00:00,HASTINGS,St Johns,13.2,NF,OH,869,624,239,6,0,3,4,4,15.3,0.0,43.6,2.4,1871.842,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,1,0,1,15.3,0,1,0,0,False,False
100332,100332,1933-01-01 00:00:00+00:00,HASTINGS,St Johns,13.2,NF,OH,508,385,122,1,0,2,2,0,9.3,0.0,27.1,0.3,1156.792,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,1,0,1,9.3,0,1,0,0,False,False
100333,100333,2001-11-01 00:00:00+00:00,HASTINGS,St Johns,13.2,NF,OH,771,636,132,3,0,3,0,6,18.5,0.1,59.2,3.3,2469.306,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,1,0,1,18.6,0,1,0,0,False,False
100334,100334,2002-10-14 00:00:00+00:00,HASTINGS,St Johns,13.2,NF,OH,1132,941,183,8,0,5,2,2,16.5,0.2,80.5,1.0,3082.66,NORTH,SEL251,None,2012-09-10 00:00:00+00:00,,0,1,0,1,16.7,0,1,0,0,False,False
100431,100431,1927-01-01 00:00:00+00:00,PALATKA,Putnam,13.2,NF,OH,915,767,147,1,0,3,0,0,5.0,0.0,10.2,0.3,483.056,NORTH,MECHANICAL,None,1982-07-18 00:00:00+00:00,,0,0,0,1,5.0,0,1,0,0,False,False
100432,100432,1927-01-01 00:00:00+00:00,PALATKA,Putnam,13.2,NF,OH,642,542,100,0,0,2,0,0,3.8,0.0,4.8,0.2,273.308,NORTH,MECHANICAL,None,1982-07-18 00:00:00+00:00,,0,0,0,0,3.8,0,1,0,0,False,False
100433,100433,1961-06-01 00:00:00+00:00,PALATKA,Putnam,13.2,NF,Hybrid,1790,1643,143,4,1,4,0,0,7.3,0.0,19.3,1.7,845.348,NORTH,MECHANICAL,1.5 Scheme,1982-07-18 00:00:00+00:00,FI,1,1,0,1,7.3,0,1,0,0,False,False
100434,100434,1969-08-01 00:00:00+00:00,PALATKA,Putnam,13.2,NF,OH,897,724,169,4,0,3,0,0,5.2,0.1,8.3,0.3,429.03,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,0,0,1,5.3,0,1,0,0,False,False
100435,100435,1975-06-01 00:00:00+00:00,PALATKA,Putnam,13.2,NF,Hybrid,1037,715,320,2,0,5,2,0,7.2,0.0,6.4,0.8,432.208,NORTH,MECHANICAL,None,1982-07-18 00:00:00+00:00,,0,1,0,1,7.2,0,1,0,0,False,False
100531,100531,1926-01-01 00:00:00+00:00,MCMEEKIN,Putnam,13.2,NF,OH,1104,1000,103,1,0,2,2,0,9.4,0.0,50.2,0.7,1894.088,NORTH,SEL751,None,1982-07-18 00:00:00+00:00,,0,1,0,1,9.4,0,1,0,0,False,False
100532,100532,1926-01-01 00:00:00+00:00,MCMEEKIN,Putnam,13.2,NF,OH,194,173,17,4,0,1,0,0,3.1,0.0,6.5,0.2,305.088,NORTH,MECHANICAL,None,1982-07-18 00:00:00+00:00,,0,0,0,1,3.1,0,1,0,0,False,False
100533,100533,1982-10-28 00:00:00+00:00,MCMEEKIN,Putnam,13.2,NF,OH,253,217,33,3,1,3,0,2,6.2,0.0,12.7,0.3,600.642,NORTH,SEL751,None,1982-07-18 00:00:00+00:00,,1,1,0,1,6.2,0,1,0,0,False,False
100631,100631,1926-01-01 00:00:00+00:00,CRESCENT CITY,Putnam,13.2,NF,OH,485,408,75,2,0,2,2,2,8.4,0.0,15.8,0.6,769.076,NORTH,SEL751,None,1982-07-18 00:00:00+00:00,,0,1,0,1,8.4,0,1,0,0,False,False
100632,100632,1926-01-01 00:00:00+00:00,CRESCENT CITY,Putnam,13.2,NF,OH,1485,1225,255,5,0,4,1,15,21.1,0.0,34.4,1.3,1763.79,NORTH,MECHANICAL,None,2013-10-22 00:00:00+00:00,,0,1,0,1,21.1,0,1,0,0,False,False
100831,100831,1953-02-01 00:00:00+00:00,PORT ORANGE,Volusia,13.2,CF,Hybrid,1928,1762,161,5,0,2,2,0,3.6,0.4,8.8,5.5,394.072,NORTH,SEL351,1.5 Scheme,1982-07-18 00:00:00+00:00,,0,1,0,1,4.0,0,1,0,0,False,False
100832,100832,1953-02-01 00:00:00+00:00,PORT ORANGE,Volusia,13.2,CF,Hybrid,2484,2305,176,3,0,5,1,1,7.1,1.2,6.6,1.5,435.386,NORTH,SEL751,None,1982-07-18 00:00:00+00:00,,0,1,0,1,8.3,0,1,0,0,False,False
100833,100833,1961-07-01 00:00:00+00:00,PORT ORANGE,Volusia,13.2,CF,Hybrid,1898,1713,184,1,0,2,0,0,4.6,0.0,4.8,13.3,298.732,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,0,0,1,4.6,0,1,0,0,False,False
100834,100834,1967-07-01 00:00:00+00:00,PORT ORANGE,Volusia,13.2,CF,Hybrid,2021,1911,107,3,0,3,0,0,3.2,0.5,5.2,14.0,266.952,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,0,0,1,3.7,0,1,0,0,False,False
100835,100835,1971-01-24 00:00:00+00:00,PORT ORANGE,Volusia,13.2,CF,Hybrid,1526,1295,229,2,0,2,1,0,1.2,3.1,1.8,4.8,95.34,NORTH,MECHANICAL,1.5 Scheme,1982-07-18 00:00:00+00:00,,0,1,0,1,4.3,1,0,0,1,False,False
100836,100836,1974-07-01 00:00:00+00:00,PORT ORANGE,Volusia,13.2,CF,Hybrid,1282,1048,233,1,0,3,0,0,2.7,0.3,1.2,9.7,123.942,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,0,0,1,3.0,0,1,0,0,False,False
100837,100837,1978-10-24 00:00:00+00:00,PORT ORANGE,Volusia,13.2,CF,Hybrid,1961,1845,115,1,0,2,0,0,4.8,0.3,8.1,7.2,409.962,NORTH,SEL351,None,2015-02-27 00:00:00+00:00,,0,0,0,1,5.1,0,1,0,0,False,False
100838,100838,1980-07-01 00:00:00+00:00,PORT ORANGE,Volusia,13.2,CF,Hybrid,1196,1031,164,1,0,3,1,0,3.0,0.4,0.0,14.5,95.34,NORTH,SEL351,None,2008-12-12 00:00:00+00:00,,0,1,0,1,3.4,0,1,0,0,False,False
100839,100839,1982-08-21 00:00:00+00:00,PORT ORANGE,Volusia,13.2,CF,Hybrid,857,671,186,0,0,2,0,0,2.6,0.1,4.8,0.7,235.172,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,0,0,0,2.7,0,1,0,0,False,False
100931,100931,1960-04-04 00:00:00+00:00,SOUTH DAYTONA,Volusia,13.2,CF,Hybrid,2181,1798,378,5,0,2,1,0,4.4,0.1,8.9,6.2,422.674,NORTH,SEL251,None,1982-07-18 00:00:00+00:00,,0,1,0,1,4.5,0,1,0,0,False,False
100932,100932,1960-04-04 00:00:00+00:00,SOUTH DAYTONA,Volusia,13.2,CF,Hybrid,1225,1134,90,1,0,6,0,0,0.5,3.1,0.3,6.2,25.424,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,0,0,1,3.6,1,0,1,0,False,False
100933,100933,1963-06-01 00:00:00+00:00,SOUTH DAYTONA,Volusia,13.2,CF,Hybrid,1380,1245,133,2,0,1,0,0,2.3,0.1,1.9,4.2,133.476,NORTH,SEL351,None,1982-07-18 00:00:00+00:00,,0,0,0,1,2.4,0,1,0,0,False,False
100934,100934,1967-06-01 00:00:00+00:00,SOUTH DAYTONA,Volusia,13.2,CF,Hybrid,1266,1127,135,4,0,2,0,0,2.3,1.3,5.2,2.4,238.35,NORTH,MECHANICAL,None,1982-07-18 00:00:00+00:00,,0,0,0,1,3.6,0,0,0,1,False,False
